id,Name,Year,Month,landfall_location,Max_category_at_landfall,Max_central_pressure_mb,Max_windspeed,adj_cost_millions,official_deaths,max_amount_rainfall,avg_forward_speed_knots,max_forward_speed_knots,avg_size_nautical_miles,max_size_nautical_miles,max_surge_ft,storm_tide_max_ft
Katrina-2005,Katrina,2005,Aug,,3,920,110,165012,1833,16.43,8.97625,15,44.84375,80,,
Harvey-2017,Harvey,2017,Aug,,4,937,115,127500,89,60.58,,,,,,
Sandy-2012,Sandy,2012,Oct,,1,942,65,72193.8,159,12.83,12.1047619,15,44.7619048,95,,17.48
Irma-2017,Irma,2017,Sep,,4,931,115,50974.5,97,21.66,,,,,,
Andrew-1992,Andrew,1992,Aug,,5,922,145,49140,61,13.98,13.0729412,15,30.1470588,45,,
Ike-2008,Ike,2008,Sep,,2,950,95,35698.6,112,17.6,11.26325,15,41.53125,83.75,,17.5
Ivan-2004,Ivan,2004,Sep,,3,946,105,27880.6,57,17,11.378913,15,48.5597826,82.5,15,
Wilma-2005,Wilma,2005,Oct,,3,950,105,25080,35,13.26,8.45933333,15,56.4583333,71.25,,
Rita-2005,Rita,2005,Sep,,3,937,100,24420.1,119,16,9.62941177,12.98,47.1323529,66.25,,17.8
Charley-2004,Charley,2004,Aug,,4,941,130,21759.4,35,9.88,14.5608333,15,16.875,26.25,,
Hugo-1989,Hugo,1989,Sep,,4,934,120,18719.8,86,10.28,12.1767647,15,42.7941177,77.5,,20.2
Irene-2011,Irene,2011,Aug,,1,952,75,15383.3,45,22.04,10.7572,15,40.8,65,7.09,
Frances-2004,Frances,2004,Sep,,2,960,90,13328,48,23.57,9.4045,14.02,44.53125,67.5,,
Matthew-2016,Matthew,2016,Oct,,2,963,85,10600,49,18.95,,,,,,
Jeanne-2004,Jeanne,2004,Sep,,3,950,105,10195.3,28,11.97,7.16730769,11.79,33.9423077,57.5,6,
Floyd-1999,Floyd,1999,Sep,,2,956,90,9931.4,77,24.06,11.6904,15,60.9,83.75,,
Georges-1998,Georges,1998,Sep,,2,964,90,9336,16,38.46,11.5834884,15,39.3023256,70,,
Fran-1996,Fran,1996,Sep,,3,954,100,8161.5,37,16,10.3259259,14.99,40.5092593,93.75,,15.4
Opal-1995,Opal,1995,Oct,,3,942,100,7830.7,27,19.42,10.3918182,15,51.1363636,87.5,,14.5
Alicia-1983,Alicia,1983,Aug,,3,962,100,7710,21,9.5,,,,,,12.63
Isabel-2003,Isabel,2003,Sep,,2,957,90,7568,55,20.2,9.96255319,15,58.8829787,100,16.2,
Gustav-2008,Gustav,2008,Sep,,2,954,90,7136.4,53,21,11.7825,15,29.609375,50,12.5,13.63
Juan-1985,Juan,1985,Oct,,1,971,75,3562.2,63,17.78,,,,,8.2,
Dennis-2005,Dennis,2005,Jul,,3,946,105,3293.4,15,12.8,12.8575,15,25.625,35,,
Elena-1985,Elena,1985,Sep,,3,959,100,3087.8,4,15.67,,,,,10,
Isaac-2012,Isaac,2012,Aug,,1,966,70,3067.6,9,26.71,6.172,8.01,27.5,30,,14.41
Bob-1991,Bob,1991,Aug,,2,962,90,2810.4,18,8.24,12.3566667,15,40.2777778,62.5,,
Gloria-1985,Gloria,1985,Sep,,3,942,90,2037.6,11,9.7,,,,,,
Allen-1980,Allen,1980,Aug,,3,945,100,1905.8,13,20.2,,,,,,12
Lili-2002,Lili,2002,Oct,,1,963,80,1568.4,2,8.4,12.4841667,15,22.3958333,35,,12.3
Bonnie-1998,Bonnie,1998,Aug,,2,964,95,1528.8,3,14.61,8.1125,13.08,56.71875,91.25,,13.8
Dolly-2008,Dolly,2008,Jul,,1,967,75,1508.1,3,15,6.494,8.07,17.5,22.5,4,
Erin-1995,Erin,1995,Aug,,2,973,85,1419.5,6,20,11.575,14,25.9375,30,,6.56
Nate-2017,Nate,2017,Oct,,1,983,65,,,9.93,,,,,,
